material_name,source_sheet,vendor,material_family,process_family,compatible_printers,supports_light_transparency,opacity,color,supports_esd,supports_flame_retardant,flame_standard,RF_Transparency,supports_biocompatibility,biocompatibility_standards,Sterilization,Heat_Defletion_Temperture_hdt_c,CTE_Linear_um_mC,Common Applications,general_notes,tensile_strength_mpa,elastic_modulus_gpa,elongation_at_break_pct_min,impact_strength_j_per_m,shore_hardness,material_cost_ILS_kg
Nylon 12 GF,FL_Powder,Formlabs,powder,SLS/MJF,Fuse1+,no,No,Grey,no,yes,UL 94 HB,,yes,EN ISO 10993-5:2009;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014,,170,,,Nylon 12 GF stiffer than Nylon 12,38,2.8,3,36,,480
Nylon 12 White,FL_Powder,Formlabs,powder,SLS/MJF,Fuse1+,no,No,White,no,yes,UL 94 HB,,yes,"EN ISO 10993-5:2009;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014;ISO 10993-11: 2017;ISO 10993-11: 2017/USP, General Chapter <151>, Pyrogen Test",,177,,,"Nylon 12 White Require Nitrogen generator, Print performance is lower",47,1.95,6,28,,480
Nylon 11,FL_Powder,Formlabs,powder,SLS/MJF,Fuse1;Fuse1+,no,No,Grey,no,yes,UL 94 HB,,yes,EN ISO 10993-5:2009;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014,,182,,parts that need to bend or resist impact.,"For ductile, robust parts, Nylon 11 Powder is a high performance, bio-based nylon material for functional prototyping and small batch production.",49,1.6,40,71,,515
Nylon 11 CF,FL_Powder,Formlabs,powder,SLS/MJF,Fuse1+,no,No,Black,no,no,no,No,yes,EN ISO 10993-5:2009;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014,,188,,,Nylon 11 CF Require Nitrogen generator,38,5.3,5,74,,708
TPU,FL_Powder,Formlabs,powder,SLS/MJF,Fuse1+,no,No,Grey,no,No,no,,yes,"ISO 10993-5: 2009, ISO 10993-23:2021, ISO 10993-10:2021",,,,"Wearables and soft-touch elements, Gaskets, seals, masks, belts, plugs, and tubes, Padding, dampers, cushions, and grippers, Soles, splints, orthotics, and prosthetics, Protective sports equipment","TPU 90A Powder enables you to produce flexible, skin-safe prototypes and end-use parts that withstand the demands of everyday use, high elongation at break and superior tear strength",7.2,,110,,,616
Nylon 12 by Evonik,HP_Powder,HP,powder,SLS/MJF,4200;5200;5600,no,No,Grey,no,No,no,,yes,EN ISO 10993-5:2009;ISO 10993-10:2010(R)2014;ISO 10993-10:2010/(R)2014,,172,,,Nylon 12 by Evonik is the most common on the market,54,,9,,,
Nylon 12 S,HP_Powder,HP,powder,SLS/MJF,5200;5600,no,No,Grey,no,No,no,,unknown,,,175,,,Nylon 12 S Very good weathering resistance,43,1.7,5,,,
Nylon 12 GB,HP_Powder,HP,powder,SLS/MJF,5200,no,No,Grey,no,No,no,,unknown,,,170,,,,30,2.9,5,,,
Nylon 12 W,HP_Powder,HP,powder,SLS/MJF,5400;5600,no,No,White,no,No,no,,unknown,,,170,,,,45,1.9,9,,,
Nylon 12 FR,HP_Powder,HP,powder,SLS/MJF,5600,no,No,Grey,no,yes,UL94 V0,,unknown,,,172,,,,46,2.5,4,,,
